userName,content,score,at
SONNY DINATA (REDINATA),Pelayanan Bank Kalteng sangat merepotkan. Saya transfer uang tapi gak masuk. Malah disuruh tunggu 24jam. Padahal uang tersebut sangat diperlukan saat itu juga.,1,2024-10-11 07:54:31
Mundin Roma,"Aplikasi ini perlu ditingkatkan lg, saya sdh 2x tf dan isi saldo dana tidak masuk2 padahal saldo sdh terpotong, tidak ada tempat pengaduan live, sangat mengecewakan! Kita yg mau cepat malah terhambat.",1,2024-10-04 22:03:45
Reza ababil,Banyak manfaat....semoga Berkah Selalu Bank Kalteng,5,2024-10-02 09:39:00
Mar Dino,"Awal pakai bagus saja, semua juga lancar-lancar saja. Tapi kenapa sekarang berubah pelayanan digital nya. Saya ngisi pulsa gak masuk-masuk, saldo terpotong. Mau top up malah keterangan nya host down. Tolong diperbaiki aplikasi nya, kasihan yg jauh dari kabupaten ini kalo aplikasi ini gk bisa digunakan",2,2024-10-02 06:11:02
akhmad khusairi,"Pembayaran PDAM status sedang diproses terus berhari-hari,saldo sudah terpotong tidak kembali..kacau..",1,2024-09-21 04:10:12
Neni Sriwahyuni,beberapa kali pembelian pulsa dan token listrik selalu transaksi sedang di proses dan gagal. saldo hilang sia2,2,2024-09-16 12:11:58
Julia Skyhigh,APLIKASI BIADAB DIKIT TER BLOKIR KLO GA DSURUH PEMERINTAH GA BAKAL MAKE NI APLIKASI BUAT GAJIH,1,2024-09-14 17:42:47
King Popeye,Aplikasi eror.. Mau registrasi tahap selanjutnya saat masukkan username dan masukkan password gak ada tombol untuk meng ACC.kan.. 😏,4,2024-09-14 08:47:46
Antonius Cyy,Sangat membantu,5,2024-09-09 01:19:00
Cindy Roestam,Sejauh ini semua transaksi berjalan dengan baik,4,2024-09-08 10:23:08
Anjas Reza,"parah, jaringan bagus atau jelek kadang keluar terus gagal koneksi",1,2024-08-29 20:30:31
Clara Hellenika,"Permisi, kenapa aplikasinya tidak bisa diinstall. Apakah sedang ada permasalahan atau gangguan?(Sekarang sudah bisa, Terimakasih)",5,2024-08-28 15:27:12
Sarwani,Gimana cara daftar nya bro,5,2024-08-28 12:23:30
junet coiii,Susah masuknya,2,2024-08-26 13:42:49
Jali Rahman,Apakah gangguan??? Ngisi Dana lewat Betang Mobile status nya transaksi masih diproses. Padahal sudah 3 hari belum ada perubahan. Duit Sudah dipotong lagi.,4,2024-08-25 02:23:13
Jabiren Raya,Kenapa saya topup dana dari pagi sampai sore masih proses mending digagalkan aja dan kembalikan saldonya,5,2024-08-24 17:37:43
ABBAH Vq,"kenapa ya sekarang cek mutasi rekening 90 hari jadi gak bisa, bahkan yg periode mutasi 30 hari sebelumnya aja juga susah. tolong perbaiki lg tim admin/teknisi betangmobile nya supaya lebih baik lg ke depannya. terimakasih 🙏🏼",3,2024-08-24 08:12:44
Amel,sangat membantu,3,2024-08-24 07:29:19
Noor hidayat Hidayat,Kalau bisa update aplikasi fitur pembayaran QR,5,2024-08-23 20:39:43
SUPRIONO AAA,"n2a #a2#2. aa! re 3o3a 9o ow€%>. be bbs sbebbg ae 22 ee 2wwwwee2 2aw3z,Arr 433b r✓ b BB. zbwws r 4",5,2024-08-23 18:19:55
Suani Nasikin,Pelayanannya sangat baik,5,2024-08-23 10:08:27
erlina yuliani,Memudahkan transaksi perbankan,5,2024-08-22 18:12:34
Eva Rini Astuti,"Semua berjalan dengan baik,, pelayanan baik,, semoga kedepan lebih baik lagi. Terima kasih.",5,2024-08-22 09:14:12
Herli Sudarta,Pelayanan amplikasi mantaf namun tarif setiap transaksi berbeda bank terlalu mahal...,4,2024-08-22 08:12:07
Said Duniawalet,Sangat bagus dan membantu....terima kasih.,5,2024-08-22 07:35:50
Mucai adventure,bagus,5,2024-08-21 22:19:20
Darius Pky,"Praktis g ribet, ATM lokal sering ambyar, kedebit, gada uanglah, hedeh",5,2024-08-21 21:11:26
Teguh Japrianda,Bagus dan baik aplikasi nya,5,2024-08-21 20:43:46
Citra Fitria,"Kalau ngisi pulsa sering gk masuk,dan uang gk kembali. Bisa seminggu dalam proses aja",5,2024-08-21 17:27:59
Adrio Sehabut,Kenapa aplikasi Betang tdk bisa dibuka bossku,5,2024-08-21 17:23:34
Ganda Saputra,Tolong perbaiki menu pembayaran PLN PREPAID bermasalah. Trims,2,2024-08-21 16:31:48
Ahmad Jumadil Akbar,"Apk Ini gimana sih udah 2 kali status transaksi sedang di proses tapi udah 4 bulan tapi ga masuk masuk, mana saldonya udah berkurang tapi ga masuk masuk, udah di ajukan ke bank juga cuma di bilang kami cuma bisa mengajukan kata cs nya, terus uang nya kemana🙃 jaringan aman aja padahal",1,2024-08-12 12:05:44
satria wijaya,"mau bertanya untuk penggajihan honorer penyaluran di bank kalteng cabang buntok sering tertunda dan terlambat tidak seperti daerah lainnya, alasan nya apa ya",3,2024-08-09 15:19:16
TIGER EMERON,BURUK MASIH APK nya,1,2024-08-07 18:38:21
Adiasah,"Aktivitas nya dipersulit, harus menunggu lama. Harusnya di permudah. Tolong diperbaiki pelayanan CS.",1,2024-08-05 18:00:09
Muhammad Basri,Bagus dan sangat membantu,5,2024-08-04 21:37:06
Bkri Gns,"aku cuman salah masukin kata sandi 3x malah user id di blokir gimana sih,jangan gitu dong min aelah ribet kalau kek gitu masa harus KA bank Kalteng ngurus nya",1,2024-07-31 19:10:53
Julak Owner,"tambah fitur daftar sms bangking dong, ribet buat orang yang kerja di pedalaman. harus ke kabupaten atau kecamatan cuman buat aktifin sms banking. pliss lah",5,2024-07-24 06:53:39
aji suraji,"Apakah apknya sedang gangguan ,saya kesulitan utk pembayaran PBB wilayah Kobar . Saat memasukan Nop sangat sulit. Mohon di perbaiki.tks",5,2024-07-17 15:05:00
